request_id,user_id,department,team,model_provider,model_name,region,timestamp,tokens_input,tokens_output,total_tokens,cost_usd,latency_ms,status,prompt_category
1,189,Operations,Research,OpenAI,gpt-4o,US,2024-03-04 07:21:00,1176,890,2066,0.0358,1195,success,analysis
2,459,Marketing,Analytics,Anthropic,claude-3-opus,US,2024-01-20 07:44:00,1094,151,1245,0.0202,430,success,search
3,150,Finance,Product,Google,gemini-flash,Asia,2024-04-26 06:14:00,137,1153,1290,0.0203,230,success,analysis
4,386,HR,Support,Anthropic,claude-3-haiku,US,2024-03-15 10:15:00,1382,799,2181,0.0848,2953,error,chat
5,314,Marketing,Research,OpenAI,gpt-4o-mini,EU,2024-11-30 13:01:00,1265,985,2250,0.039,559,success,analysis
6,59,Marketing,Data Engineering,OpenAI,gpt-4o-mini,EU,2024-09-20 08:01:00,71,282,353,0.0096,574,success,search
7,446,Marketing,Support,Google,gemini-pro,EU,2024-03-14 13:07:00,560,729,1289,0.0318,289,error,coding
8,320,IT,Research,Anthropic,claude-3-haiku,US,2024-07-13 09:46:00,736,987,1723,0.031,1367,success,coding
9,274,Operations,Support,OpenAI,gpt-3.5-turbo,Asia,2024-12-02 14:34:00,1204,676,1880,0.0316,2314,success,coding
10,265,Operations,Data Engineering,Anthropic,claude-3-haiku,US,2024-06-15 18:54:00,437,630,1067,0.0519,341,success,analysis
11,367,IT,Research,OpenAI,gpt-4o-mini,US,2024-08-17 03:23:00,1419,594,2013,0.0387,2239,success,search
12,206,IT,Product,Google,gemini-flash,US,2024-07-10 07:44:00,1005,538,1543,0.0669,134,success,coding
13,106,HR,Support,Anthropic,claude-3-haiku,US,2024-02-04 07:25:00,1154,1055,2209,0.0597,2713,success,analysis
14,202,Operations,Support,OpenAI,gpt-4o,Asia,2024-10-07 04:17:00,752,431,1183,0.0485,261,success,analysis
15,456,Sales,Research,Anthropic,claude-3-haiku,Asia,2024-03-24 09:56:00,1045,299,1344,0.0525,3442,success,analysis
16,237,Marketing,Research,Meta,llama-3-8b,EU,2024-07-10 19:03:00,1325,1046,2371,0.1149,2867,success,analysis
17,252,Operations,Research,Google,gemini-pro,Asia,2024-04-21 07:03:00,387,908,1295,0.0559,2364,success,coding
18,15,Sales,Data Engineering,Meta,llama-3-70b,US,2024-01-15 04:22:00,237,409,646,0.0136,1280,success,summarization
19,136,HR,Support,OpenAI,gpt-4o-mini,US,2024-02-27 08:22:00,114,550,664,0.0272,2127,success,search
20,163,IT,Analytics,OpenAI,gpt-3.5-turbo,Asia,2024-12-12 02:09:00,1136,1192,2328,0.0418,491,success,coding
21,41,Sales,Data Engineering,Google,gemini-flash,EU,2024-05-26 11:22:00,468,318,786,0.0269,2378,error,search
22,418,Operations,Research,Meta,llama-3-8b,EU,2024-03-29 02:42:00,1101,164,1265,0.0557,879,success,summarization
23,293,Marketing,Research,Google,gemini-pro,US,2024-06-09 08:34:00,1106,1101,2207,0.0548,1851,success,coding
24,449,Operations,Analytics,OpenAI,gpt-4o,US,2024-08-28 14:39:00,148,713,861,0.0306,1670,success,analysis
25,255,Finance,Research,OpenAI,gpt-3.5-turbo,Asia,2024-04-06 08:19:00,662,672,1334,0.0539,3389,success,search
26,15,IT,Product,Anthropic,claude-3-opus,US,2024-09-14 23:47:00,447,900,1347,0.0156,306,success,summarization
27,96,IT,Analytics,Anthropic,claude-3-haiku,Asia,2024-02-14 03:16:00,941,893,1834,0.065,663,success,analysis
28,29,Marketing,Support,Anthropic,claude-3-haiku,US,2024-04-12 01:51:00,534,260,794,0.021,3342,success,summarization
29,243,HR,Product,Anthropic,claude-3-opus,US,2024-11-18 16:16:00,1109,554,1663,0.0218,1822,success,analysis
30,441,Operations,Data Engineering,OpenAI,gpt-4o,US,2024-05-01 02:29:00,1159,607,1766,0.0618,1697,error,coding
31,44,IT,Support,Anthropic,claude-3-haiku,EU,2024-10-02 23:02:00,1062,675,1737,0.0491,1743,success,coding
32,283,HR,Product,OpenAI,gpt-4o-mini,EU,2024-12-20 09:11:00,1413,219,1632,0.0235,1500,success,search
33,359,HR,Support,Google,gemini-pro,US,2024-02-14 09:18:00,682,657,1339,0.0323,1382,success,search
